time,date,Q,C,C_interp,Q_interp,phase,step_days,site
1,1991-01-02,9.9525,0.605403,FALSE,FALSE,pre,7,fernow_WS-5
2,1991-01-09,31.9202,0.600885,FALSE,FALSE,pre,7,fernow_WS-5
3,1991-01-16,12.3739,0.56022400000000006,FALSE,FALSE,pre,7,fernow_WS-5
4,1991-01-23,6.6655,0.56926,FALSE,FALSE,pre,7,fernow_WS-5
5,1991-01-30,18.2381,0.56022400000000006,FALSE,FALSE,pre,7,fernow_WS-5
6,1991-02-06,17.2935,0.56926,FALSE,FALSE,pre,7,fernow_WS-5
7,1991-02-13,12.4154,0.548929,FALSE,FALSE,pre,7,fernow_WS-5
8,1991-02-20,19.6932,0.56926,FALSE,FALSE,pre,7,fernow_WS-5
9,1991-02-27,18.9714,0.639288,FALSE,FALSE,pre,7,fernow_WS-5
10,1991-03-06,19.819,0.56926,FALSE,FALSE,pre,7,fernow_WS-5
11,1991-03-13,16.3098,0.618957,FALSE,FALSE,pre,7,fernow_WS-5
12,1991-03-20,33.7683,0.56022400000000006,FALSE,FALSE,pre,7,fernow_WS-5
13,1991-03-27,7.1935,0.539893,FALSE,FALSE,pre,7,fernow_WS-5
14,1991-04-03,9.4125,0.519562,FALSE,FALSE,pre,7,fernow_WS-5
15,1991-04-10,34.5245,0.58959,FALSE,FALSE,pre,7,fernow_WS-5
16,1991-04-17,9.861,0.490196,FALSE,FALSE,pre,7,fernow_WS-5
17,1991-04-24,14.3419,0.499232,FALSE,FALSE,pre,7,fernow_WS-5
18,1991-05-01,4.5272,0.440498,FALSE,FALSE,pre,7,fernow_WS-5
19,1991-05-08,2.8325,0.440498,FALSE,FALSE,pre,7,fernow_WS-5
20,1991-05-15,1.3136,0.420168,FALSE,FALSE,pre,7,fernow_WS-5
21,1991-05-22,0.6141,0.320773,FALSE,FALSE,pre,7,fernow_WS-5
22,1991-05-29,0.4316,0.329809,FALSE,FALSE,pre,7,fernow_WS-5
23,1991-06-05,0.177,0.379506,FALSE,FALSE,pre,7,fernow_WS-5
24,1991-06-12,0.1872,0.309478,FALSE,FALSE,pre,7,fernow_WS-5
25,1991-06-19,1.4039,0.420168,FALSE,FALSE,pre,7,fernow_WS-5
26,1991-06-26,0.2848,0.259781,FALSE,FALSE,pre,7,fernow_WS-5
27,1991-07-03,0.2107,0.230415,FALSE,FALSE,pre,7,fernow_WS-5
28,1991-07-10,0.4383,0.28011200000000003,FALSE,FALSE,pre,7,fernow_WS-5
29,1991-07-17,0.3413,0.259781,FALSE,FALSE,pre,7,fernow_WS-5
30,1991-07-24,0.3468,0.271076,FALSE,FALSE,pre,7,fernow_WS-5
31,1991-07-31,0.1529,0.21912,FALSE,FALSE,pre,7,fernow_WS-5
32,1991-08-07,0.4034,0.271076,FALSE,FALSE,pre,7,fernow_WS-5
33,1991-08-14,0.1469,0.210084,FALSE,FALSE,pre,7,fernow_WS-5
34,1991-08-21,0.0548,0.256769,TRUE,FALSE,pre,7,fernow_WS-5
35,1991-08-28,0.1085,0.303455,TRUE,FALSE,pre,7,fernow_WS-5
36,1991-09-04,0.9951,0.35014,FALSE,FALSE,pre,7,fernow_WS-5
37,1991-09-11,0.1355,0.21912,FALSE,FALSE,pre,7,fernow_WS-5
38,1991-09-18,0.2504,0.320773,FALSE,FALSE,pre,7,fernow_WS-5
39,1991-09-25,0.0957,0.259781,FALSE,FALSE,pre,7,fernow_WS-5
40,1991-10-02,0.2648,0.35014,FALSE,FALSE,pre,7,fernow_WS-5
41,1991-10-09,0.8988,0.440498,FALSE,FALSE,pre,7,fernow_WS-5
42,1991-10-16,0.5635,0.440498,FALSE,FALSE,pre,7,fernow_WS-5
43,1991-10-23,0.1084,0.309478,FALSE,FALSE,pre,7,fernow_WS-5
44,1991-10-30,0.074,0.309478,FALSE,FALSE,pre,7,fernow_WS-5
45,1991-11-06,0.1355,0.289148,FALSE,FALSE,pre,7,fernow_WS-5
46,1991-11-13,0.6773,0.399837,FALSE,FALSE,pre,7,fernow_WS-5
47,1991-11-20,5.7721,0.56926,FALSE,FALSE,pre,7,fernow_WS-5
