time,date,climate,response,zero_flow,climate_interp,response_interp,phase,site,disturbance,class
1,1991-01-01,0,26.275041,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
2,1991-01-02,0,14.412292,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
3,1991-01-03,0,9.553411,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
4,1991-01-04,0,6.885873,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
5,1991-01-05,0.51,5.613208,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
6,1991-01-06,8.13,5.056944,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
7,1991-01-07,25.15,12.183022,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
8,1991-01-08,1.78,15.963088,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
9,1991-01-09,4.06,14.846346,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
10,1991-01-10,1.78,19.106822,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
11,1991-01-11,22.35,49.92047,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
12,1991-01-12,10.67,70.181961,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
13,1991-01-13,2.03,39.010112,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
14,1991-01-14,0,18.790763,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
15,1991-01-15,0.51,11.584617,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
16,1991-01-16,11.68,11.980744,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
17,1991-01-17,5.59,16.123225,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
18,1991-01-18,0.51,14.846346,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
19,1991-01-19,0,11.108421,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
20,1991-01-20,6.6,10.109675,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
21,1991-01-21,9.65,10.467875,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
22,1991-01-22,0,11.980744,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
23,1991-01-23,0,10.231884,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
24,1991-01-24,0,8.440883,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
25,1991-01-25,0,6.767877,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
26,1991-01-26,0.76,5.773345,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
27,1991-01-27,0.76,5.17494,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
28,1991-01-28,6.86,5.335076,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
29,1991-01-29,0,4.934735,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
30,1991-01-30,14.22,14.770492,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
31,1991-01-31,2.03,49.600197,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
32,1991-02-01,0.51,24.998162,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
33,1991-02-02,0,14.648282,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
34,1991-02-03,0,9.873684,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
35,1991-02-04,0,7.484278,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
36,1991-02-05,3.05,6.291682,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
37,1991-02-06,9.65,7.206146,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
38,1991-02-07,15.49,29.776975,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
39,1991-02-08,0,31.964103,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
40,1991-02-09,0,21.256023,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
41,1991-02-10,0,13.851814,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
42,1991-02-11,0,9.713547,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
43,1991-02-12,0,7.286214,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
44,1991-02-13,9.91,6.489745,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
45,1991-02-14,12.19,9.553411,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
46,1991-02-15,4.32,13.177554,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
47,1991-02-16,1.78,12.022885,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
48,1991-02-17,5.59,9.435416,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
49,1991-02-18,1.52,7.724483,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
50,1991-02-19,8.13,28.50431,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
51,1991-02-20,6.86,56.288006,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
52,1991-02-21,0,32.760572,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
53,1991-02-22,0,18.032221,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
54,1991-02-23,0,11.146348,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
55,1991-02-24,0,8.12061,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
56,1991-02-25,6.86,6.409677,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
57,1991-02-26,1.78,5.094872,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
58,1991-02-27,3.05,4.180407,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
59,1991-02-28,0,3.822207,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
60,1991-03-01,0,4.180407,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
61,1991-03-02,8.64,9.355347,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
62,1991-03-03,20.83,14.210014,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
63,1991-03-04,8.89,67.354286,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
64,1991-03-05,0,29.696906,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
65,1991-03-06,22.1,26.034836,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
66,1991-03-07,0,52.904067,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
67,1991-03-08,0,25.158299,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
68,1991-03-09,0,13.29555,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
69,1991-03-10,11.18,9.157284,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
70,1991-03-11,0.76,6.687809,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
71,1991-03-12,0,5.495213,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
72,1991-03-13,9.14,5.415145,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
73,1991-03-14,6.1,4.934735,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
74,1991-03-15,0,4.218334,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
75,1991-03-16,0,4.340544,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
76,1991-03-17,5.08,8.558878,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
77,1991-03-18,13.21,45.221726,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
78,1991-03-19,9.91,41.479587,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
79,1991-03-20,0,28.462169,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
80,1991-03-21,4.06,30.295311,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
81,1991-03-22,16.26,26.275041,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
82,1991-03-23,16,80.409631,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
83,1991-03-24,0.76,41.159314,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
84,1991-03-25,0,18.432562,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
85,1991-03-26,2.79,11.344412,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
86,1991-03-27,1.27,8.318674,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
87,1991-03-28,1.27,6.409677,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
88,1991-03-29,5.33,5.292935,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
89,1991-03-30,10.92,5.212867,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
90,1991-03-31,0,5.335076,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
91,1991-04-01,0.76,9.355347,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
92,1991-04-02,0,10.429948,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
93,1991-04-03,0,8.879152,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
94,1991-04-04,0,7.164005,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
95,1991-04-05,15.75,7.76241,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
96,1991-04-06,0,9.595552,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
97,1991-04-07,0,10.590084,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
98,1991-04-08,6.1,9.515484,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
99,1991-04-09,13.46,12.381086,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
100,1991-04-10,0.51,18.432562,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
101,1991-04-11,0,15.166619,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
102,1991-04-12,0,10.467875,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
103,1991-04-13,37.34,41.837787,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
104,1991-04-14,7.11,64.088343,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
105,1991-04-15,15.24,51.075139,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
106,1991-04-16,0,40.60305,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
107,1991-04-17,0,18.908758,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
108,1991-04-18,0,11.306485,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
109,1991-04-19,0.51,7.724483,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
110,1991-04-20,3.05,5.853413,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
111,1991-04-21,5.59,4.854667,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
112,1991-04-22,7.87,8.238605,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
113,1991-04-23,0,12.140881,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
114,1991-04-24,5.08,11.306485,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
115,1991-04-25,0,8.676874,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
116,1991-04-26,0,7.404209,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
117,1991-04-27,21.84,13.333477,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
118,1991-04-28,0,30.135175,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
119,1991-04-29,0,18.192358,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
120,1991-04-30,0,11.344412,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
121,1991-05-01,1.52,8.082683,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
122,1991-05-02,0,5.853413,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
123,1991-05-03,0.76,4.618676,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
124,1991-05-04,0,3.624144,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
125,1991-05-05,0,3.143734,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
126,1991-05-06,14.48,3.742139,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
127,1991-05-07,0,2.625397,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
128,1991-05-08,0,2.031206,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
129,1991-05-09,12.45,3.105807,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
130,1991-05-10,0.51,3.143734,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
131,1991-05-11,0,3.464007,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
132,1991-05-12,0,3.143734,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
133,1991-05-13,0,2.549543,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
134,1991-05-14,1.52,2.389406,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
135,1991-05-15,0,2.031206,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
136,1991-05-16,0,1.592937,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
137,1991-05-17,0.76,1.394874,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
138,1991-05-18,0,1.192596,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
139,1991-05-19,7.11,1.272664,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
140,1991-05-20,0.51,0.914464,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
141,1991-05-21,0,0.796469,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
142,1991-05-22,0,0.7164,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
143,1991-05-23,0,0.7164,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
144,1991-05-24,0,0.678473,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
145,1991-05-25,0,0.598405,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
146,1991-05-26,4.83,0.636332,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
147,1991-05-27,3.81,0.476196,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
148,1991-05-28,0.25,0.476196,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
149,1991-05-29,0,0.438269,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
150,1991-05-30,0,0.396127,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
151,1991-05-31,7.37,0.636332,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
152,1991-06-01,1.27,0.476196,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
153,1991-06-02,0.76,0.396127,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
154,1991-06-03,0,0.3582,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
155,1991-06-04,0,0.320273,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
156,1991-06-05,0,0.240205,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
157,1991-06-06,0,0.198064,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
158,1991-06-07,0,0.160137,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
159,1991-06-08,0,0.160137,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
160,1991-06-09,0,0.160137,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
161,1991-06-10,0,0.160137,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
162,1991-06-11,1.02,0.160137,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
163,1991-06-12,6.1,0.240205,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
164,1991-06-13,0,0.320273,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
165,1991-06-14,0,0.117995,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
166,1991-06-15,0,0.117995,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
167,1991-06-16,2.54,0.198064,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
168,1991-06-17,1.02,0.198064,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
169,1991-06-18,0,0.117995,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
170,1991-06-19,0,0.117995,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
171,1991-06-20,0,0.080068,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
172,1991-06-21,0,0.080068,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
173,1991-06-22,54.86,2.347265,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
174,1991-06-23,13.72,5.929267,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
175,1991-06-24,0,0.796469,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
176,1991-06-25,0,0.476196,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
177,1991-06-26,0,0.320273,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
178,1991-06-27,0,0.240205,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
179,1991-06-28,0,0.240205,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
180,1991-06-29,0,0.160137,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
181,1991-06-30,0,0.160137,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
182,1991-07-01,8.64,0.396127,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
183,1991-07-02,4.32,0.476196,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
184,1991-07-03,0,0.240205,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
185,1991-07-04,1.78,0.240205,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
186,1991-07-05,6.35,0.438269,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
187,1991-07-06,0,0.240205,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
188,1991-07-07,0,0.117995,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
189,1991-07-08,0,0.117995,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
190,1991-07-09,0,0.080068,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
191,1991-07-10,7.87,0.3582,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
192,1991-07-11,0,0.198064,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
193,1991-07-12,19.05,1.154669,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
194,1991-07-13,3.81,0.678473,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
195,1991-07-14,0,0.320273,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
196,1991-07-15,0,0.198064,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
197,1991-07-16,0,0.160137,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
198,1991-07-17,0,0.117995,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
199,1991-07-18,6.35,0.240205,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
200,1991-07-19,3.05,0.320273,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
201,1991-07-20,0,0.117995,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
202,1991-07-21,0,0.080068,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
203,1991-07-22,11.94,0.3582,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
204,1991-07-23,16.26,1.154669,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
205,1991-07-24,0,0.636332,FALSE,FALSE,FALSE,pre,fernow_WS-5,timber_harvest,pulse
