time,date,Q,C,C_interp,Q_interp,phase,step_days,site
1,1983-11-04,1.8293,0.024849,FALSE,FALSE,pre,7,hbef_w1
2,1983-11-11,4.3762,0.002259,FALSE,FALSE,pre,7,hbef_w1
3,1983-11-18,4.852,0.002259,FALSE,FALSE,pre,7,hbef_w1
4,1983-11-25,9.6316,0.029367,FALSE,FALSE,pre,7,hbef_w1
5,1983-12-02,7.1051,0.031626,FALSE,FALSE,pre,7,hbef_w1
6,1983-12-09,17.5528,0.06664,FALSE,FALSE,pre,7,hbef_w1
7,1983-12-16,5.0274,0.049697,FALSE,FALSE,pre,7,hbef_w1
8,1983-12-23,1.7864,0.051956,FALSE,FALSE,pre,7,hbef_w1
9,1983-12-30,1.3717,0.070028000000000007,FALSE,FALSE,pre,7,hbef_w1
10,1984-01-06,0.9384,0.063251,FALSE,FALSE,pre,7,hbef_w1
11,1984-01-13,0.718,0.051956,FALSE,FALSE,pre,7,hbef_w1
12,1984-01-20,0.5808,0.049697,FALSE,FALSE,pre,7,hbef_w1
13,1984-01-27,0.517,0.074546,FALSE,FALSE,pre,7,hbef_w1
14,1984-02-03,1.9111,0.28011200000000003,FALSE,FALSE,pre,7,hbef_w1
15,1984-02-10,8.9359,0.128761,FALSE,FALSE,pre,7,hbef_w1
16,1984-02-17,7.6689,0.160387,FALSE,FALSE,pre,7,hbef_w1
17,1984-02-24,8.0879,0.14005600000000001,FALSE,FALSE,pre,7,hbef_w1
18,1984-03-02,1.7898,0.0881,FALSE,FALSE,pre,7,hbef_w1
19,1984-03-09,1.0148,0.076805,FALSE,FALSE,pre,7,hbef_w1
20,1984-03-16,5.3464,0.076805,FALSE,FALSE,pre,7,hbef_w1
21,1984-03-23,4.9958,0.083582,FALSE,FALSE,pre,7,hbef_w1
22,1984-03-30,10.3724,0.067769,FALSE,FALSE,pre,7,hbef_w1
23,1984-04-06,20.804,0.097136,FALSE,FALSE,pre,7,hbef_w1
24,1984-04-13,8.2205,0.045179,FALSE,FALSE,pre,7,hbef_w1
25,1984-04-20,4.7039,0.033884,FALSE,FALSE,pre,7,hbef_w1
26,1984-04-27,2.5611,0.002259,FALSE,FALSE,pre,7,hbef_w1
27,1984-05-04,7.6775,0.02259,FALSE,FALSE,pre,7,hbef_w1
28,1984-05-11,10.7639,0.038402,FALSE,FALSE,pre,7,hbef_w1
29,1984-05-18,3.1864,0.013554,FALSE,FALSE,pre,7,hbef_w1
30,1984-05-25,22.9033,0.002259,FALSE,FALSE,pre,7,hbef_w1
31,1984-06-01,7.9076,0.002259,FALSE,FALSE,pre,7,hbef_w1
32,1984-06-08,2.3543,0.002259,FALSE,FALSE,pre,7,hbef_w1
33,1984-06-15,0.79990000000000006,0.002259,FALSE,FALSE,pre,7,hbef_w1
34,1984-06-22,7.3612,0.002259,FALSE,FALSE,pre,7,hbef_w1
35,1984-06-29,2.1349,0.002259,FALSE,FALSE,pre,7,hbef_w1
36,1984-07-06,6.4847,0.002259,FALSE,FALSE,pre,7,hbef_w1
37,1984-07-13,3.6065,0.002259,FALSE,FALSE,pre,7,hbef_w1
38,1984-07-20,1.2754,0.013554,FALSE,FALSE,pre,7,hbef_w1
39,1984-07-27,0.3732,0.002259,FALSE,FALSE,pre,7,hbef_w1
40,1984-08-03,0.0767,0.013554,FALSE,FALSE,pre,7,hbef_w1
41,1984-08-10,0.0753,0.002259,FALSE,FALSE,pre,7,hbef_w1
42,1984-08-17,0.0219,0.002464,TRUE,FALSE,pre,7,hbef_w1
43,1984-08-24,0.027,0.00267,TRUE,FALSE,pre,7,hbef_w1
44,1984-08-31,0.0033,0.002875,TRUE,FALSE,pre,7,hbef_w1
45,1984-09-07,0.0206,0.00308,TRUE,TRUE,pre,7,hbef_w1
46,1984-09-14,0.038,0.003286,TRUE,TRUE,pre,7,hbef_w1
47,1984-09-21,0.0554,0.003491,TRUE,TRUE,pre,7,hbef_w1
48,1984-09-28,0.0727,0.003696,TRUE,FALSE,pre,7,hbef_w1
49,1984-10-05,0.0593,0.003902,TRUE,FALSE,pre,7,hbef_w1
50,1984-10-12,0.029,0.004107,TRUE,FALSE,pre,7,hbef_w1
51,1984-10-19,0.0522,0.004313,TRUE,FALSE,pre,7,hbef_w1
52,1984-10-26,0.2714,0.004518,FALSE,FALSE,pre,7,hbef_w1
53,1984-11-02,0.3244,0.128761,TRUE,FALSE,pre,7,hbef_w1
