time,date,climate,response,zero_flow,climate_interp,response_interp,phase,site,disturbance,class
1,1983-11-01,0,0.092132,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
2,1983-11-02,0,0.090343,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
3,1983-11-03,10.3766,0.103214,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
4,1983-11-04,27.5158,2.514293,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
5,1983-11-05,2.4373,4.32962,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
6,1983-11-06,0.8526,1.967486,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
7,1983-11-07,0.0649,1.471328,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
8,1983-11-08,0,1.106447,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
9,1983-11-09,0,0.78418,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
10,1983-11-10,2.7293,0.631957,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
11,1983-11-11,23.6116,1.690951,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
12,1983-11-12,3.0485,8.247574,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
13,1983-11-13,0,3.094298,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
14,1983-11-14,0,1.807593,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
15,1983-11-15,1.1351,1.273352,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
16,1983-11-16,26.7099,2.580168,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
17,1983-11-17,6.0473,11.93926,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
18,1983-11-18,0.0139,3.829286,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
19,1983-11-19,0,2.397476,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
20,1983-11-20,0.2304,1.838272,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
21,1983-11-21,22.8711,11.563947,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
22,1983-11-22,0,7.861233,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
23,1983-11-23,0,3.727769,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
24,1983-11-24,14.0285,2.746121,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
25,1983-11-25,36.2413,24.560149,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
26,1983-11-26,0.0361,10.809391,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
27,1983-11-27,0,4.962666,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
28,1983-11-28,3.5341,3.506945,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
29,1983-11-29,22.9662,9.189393,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
30,1983-11-30,1.5455,9.531649,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
31,1983-12-01,1.8366,4.861206,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
32,1983-12-02,2.3397,3.413809,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
33,1983-12-03,2.5815,2.835827,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
34,1983-12-04,20.476,2.394123,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
35,1983-12-05,1.7402,2.149199,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
36,1983-12-06,30.3132,2.045381,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
37,1983-12-07,13.6287,28.703404,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
38,1983-12-08,0.0196,8.193972,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
39,1983-12-09,0.8149,4.716238,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
40,1983-12-10,0,3.624472,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
41,1983-12-11,0,2.930071,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
42,1983-12-12,6.5612,2.506577,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
43,1983-12-13,45.7127,30.375544,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
44,1983-12-14,16.4501,59.60886,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
45,1983-12-15,0,19.107969,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
46,1983-12-16,0,12.34799,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
47,1983-12-17,1.0566,7.187622,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
48,1983-12-18,3.2414,4.890509,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
49,1983-12-19,1.9295,3.72937,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
50,1983-12-20,0,2.821492,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
51,1983-12-21,0.2758,2.249671,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
52,1983-12-22,26.4774,1.964939,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
53,1983-12-23,0.249,1.898709,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
54,1983-12-24,1.1314,1.735084,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
55,1983-12-25,0.202,1.557022,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
56,1983-12-26,0.0345,1.363366,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
57,1983-12-27,0,1.255616,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
58,1983-12-28,22.2185,1.174065,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
59,1983-12-29,2.7351,3.520905,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
60,1983-12-30,0,2.022831,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
61,1983-12-31,0,1.574277,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
62,1984-01-01,0,1.366166,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
63,1984-01-02,0.3084,1.260029,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
64,1984-01-03,0,1.169063,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
65,1984-01-04,0,1.130123,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
66,1984-01-05,0,1.079704,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
67,1984-01-06,5.0011,1.064936,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
68,1984-01-07,1.3591,1.050146,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
69,1984-01-08,0,0.986493,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
70,1984-01-09,0.0292,0.905161,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
71,1984-01-10,15.3227,0.880786,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
72,1984-01-11,0.6895,0.880552,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
73,1984-01-12,0.0474,0.800578,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
74,1984-01-13,0.0484,0.750977,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
75,1984-01-14,2.4171,0.741646,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
76,1984-01-15,0.3539,0.74838,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
77,1984-01-16,0,0.722055,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
78,1984-01-17,0,0.704614,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
79,1984-01-18,0.5935,0.682554,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
80,1984-01-19,0.9538,0.675646,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
81,1984-01-20,1e-4,0.65481,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
82,1984-01-21,0,0.58369,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
83,1984-01-22,0,0.534397,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
84,1984-01-23,0,0.522306,FALSE,FALSE,FALSE,pre,hbef_w1,chemical_addition,pulse
