time,date,Q,C,C_interp,Q_interp,phase,step_days,site
1,1976-02-20,9.3055,0.0225,FALSE,FALSE,pre,21,hjandrews_GSWS10
2,1976-03-12,8.754,0.034,FALSE,FALSE,pre,21,hjandrews_GSWS10
3,1976-04-02,4.0264,0.022,FALSE,FALSE,pre,21,hjandrews_GSWS10
4,1976-04-23,3.5733,0.02,FALSE,FALSE,pre,21,hjandrews_GSWS10
5,1976-05-14,0.9844,0.012,TRUE,FALSE,pre,21,hjandrews_GSWS10
6,1976-06-04,1.0572,0.004,FALSE,FALSE,pre,21,hjandrews_GSWS10
7,1976-06-25,0.7282,0.001,FALSE,FALSE,pre,21,hjandrews_GSWS10
8,1976-07-16,0.5272,0.0015,TRUE,FALSE,pre,21,hjandrews_GSWS10
9,1976-08-06,0.6526,0.002,FALSE,FALSE,pre,21,hjandrews_GSWS10
10,1976-08-27,0.5272,0.00225,TRUE,FALSE,pre,21,hjandrews_GSWS10
11,1976-09-17,0.4423,0.0025,FALSE,FALSE,pre,21,hjandrews_GSWS10
12,1976-10-08,1.014,0.023,FALSE,FALSE,pre,21,hjandrews_GSWS10
13,1976-10-29,2.914,0.022,FALSE,FALSE,pre,21,hjandrews_GSWS10
14,1976-11-19,1.2473,0.011,FALSE,FALSE,pre,21,hjandrews_GSWS10
15,1976-12-10,1.2824,0.051,FALSE,FALSE,pre,21,hjandrews_GSWS10
16,1976-12-31,2.4703,0.05275,TRUE,FALSE,pre,21,hjandrews_GSWS10
17,1977-01-21,0.8441,0.0545,FALSE,FALSE,pre,21,hjandrews_GSWS10
18,1977-02-11,6.343,0.092,FALSE,FALSE,pre,21,hjandrews_GSWS10
19,1977-03-04,9.4161,0.063,FALSE,FALSE,pre,21,hjandrews_GSWS10
20,1977-03-25,3.901,0.032,FALSE,FALSE,pre,21,hjandrews_GSWS10
21,1977-04-15,1.9485,0.031,FALSE,FALSE,pre,21,hjandrews_GSWS10
22,1977-05-06,3.5046,0.034,FALSE,FALSE,pre,21,hjandrews_GSWS10
23,1977-05-27,2.0752,0.025,FALSE,FALSE,pre,21,hjandrews_GSWS10
24,1977-06-17,0.8792,0.007,FALSE,FALSE,pre,21,hjandrews_GSWS10
25,1977-07-08,0.4706,0.009,FALSE,FALSE,pre,21,hjandrews_GSWS10
26,1977-07-29,0.2805,0.014,FALSE,FALSE,pre,21,hjandrews_GSWS10
27,1977-08-19,0.3897,0.02,FALSE,FALSE,pre,21,hjandrews_GSWS10
28,1977-09-09,1.1044,0.03825,TRUE,FALSE,pre,21,hjandrews_GSWS10
29,1977-09-30,0.9048,0.0565,FALSE,FALSE,pre,21,hjandrews_GSWS10
30,1977-10-21,5.6391,0.056,FALSE,FALSE,pre,21,hjandrews_GSWS10
31,1977-11-11,21.738,0.0935,FALSE,FALSE,pre,21,hjandrews_GSWS10
32,1977-12-02,28.0082,0.023,FALSE,FALSE,pre,21,hjandrews_GSWS10
33,1977-12-23,12.7507,0.031,FALSE,FALSE,pre,21,hjandrews_GSWS10
34,1978-01-13,8.9657,0.021,FALSE,FALSE,pre,21,hjandrews_GSWS10
35,1978-02-03,7.5687,0.036,FALSE,FALSE,pre,21,hjandrews_GSWS10
36,1978-02-24,2.4811,0.022,FALSE,FALSE,pre,21,hjandrews_GSWS10
37,1978-03-17,2.2775,0.017,FALSE,FALSE,pre,21,hjandrews_GSWS10
38,1978-04-07,3.8255,0.028,FALSE,FALSE,pre,21,hjandrews_GSWS10
39,1978-04-28,3.7163,0.03,FALSE,FALSE,pre,21,hjandrews_GSWS10
40,1978-05-19,1.4415,0.023,FALSE,FALSE,pre,21,hjandrews_GSWS10
41,1978-06-09,0.9682,0.014,FALSE,FALSE,pre,21,hjandrews_GSWS10
42,1978-06-30,0.5636,0.0125,TRUE,FALSE,pre,21,hjandrews_GSWS10
43,1978-07-21,0.3452,0.011,FALSE,FALSE,pre,21,hjandrews_GSWS10
44,1978-08-11,0.4706,0.009,FALSE,FALSE,pre,21,hjandrews_GSWS10
45,1978-09-01,1.2527,0.025,FALSE,FALSE,pre,21,hjandrews_GSWS10
46,1978-09-22,0.3681,0.024,FALSE,FALSE,pre,21,hjandrews_GSWS10
47,1978-10-13,0.3007,0.031,FALSE,FALSE,pre,21,hjandrews_GSWS10
48,1978-11-03,1.5669,0.088,FALSE,FALSE,pre,21,hjandrews_GSWS10
49,1978-11-24,14.6102,0.082,FALSE,FALSE,pre,21,hjandrews_GSWS10
50,1978-12-15,4.4943,0.044,FALSE,FALSE,pre,21,hjandrews_GSWS10
51,1979-01-05,5.5151,0.049,FALSE,FALSE,pre,21,hjandrews_GSWS10
52,1979-01-26,14.5077,0.004,FALSE,FALSE,pre,21,hjandrews_GSWS10
53,1979-02-16,14.5037,0.041,FALSE,FALSE,pre,21,hjandrews_GSWS10
54,1979-03-09,2.624,0.011,FALSE,FALSE,pre,21,hjandrews_GSWS10
55,1979-03-30,8.429,0.021,FALSE,FALSE,pre,21,hjandrews_GSWS10
56,1979-04-20,6.2756,0.018,FALSE,FALSE,pre,21,hjandrews_GSWS10
57,1979-05-11,1.6855,0.012,FALSE,FALSE,pre,21,hjandrews_GSWS10
58,1979-06-01,0.7093,0.01,FALSE,FALSE,pre,21,hjandrews_GSWS10
59,1979-06-22,0.5016,0.006,FALSE,FALSE,pre,21,hjandrews_GSWS10
60,1979-07-13,0.2791,0.009,FALSE,FALSE,pre,21,hjandrews_GSWS10
61,1979-08-03,0.2252,0.005,FALSE,FALSE,pre,21,hjandrews_GSWS10
62,1979-08-24,0.2414,0.006,FALSE,FALSE,pre,21,hjandrews_GSWS10
63,1979-09-14,0.1726,0.001,FALSE,FALSE,pre,21,hjandrews_GSWS10
64,1979-10-05,1.6801,0.015,FALSE,FALSE,pre,21,hjandrews_GSWS10
65,1979-10-26,2.8883,0.026,FALSE,FALSE,pre,21,hjandrews_GSWS10
66,1979-11-16,11.9565,0.023,FALSE,FALSE,pre,21,hjandrews_GSWS10
67,1979-12-07,5.8886,0.018,FALSE,FALSE,pre,21,hjandrews_GSWS10
68,1979-12-28,19.0439,0.017,FALSE,FALSE,pre,21,hjandrews_GSWS10
69,1980-01-18,5.1132,0.014,FALSE,FALSE,pre,21,hjandrews_GSWS10
70,1980-02-08,4.795,0.006,FALSE,FALSE,pre,21,hjandrews_GSWS10
71,1980-02-29,9.4403,0.011,FALSE,FALSE,pre,21,hjandrews_GSWS10
72,1980-03-21,5.8077,0.006,FALSE,FALSE,pre,21,hjandrews_GSWS10
