time,date,climate,response,zero_flow,climate_interp,response_interp,phase,site,disturbance,class
1,1976-02-01,0,2.180409,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
2,1976-02-02,0,2.010507,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
3,1976-02-03,0.8275,1.840605,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
4,1976-02-04,0,1.642386,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
5,1976-02-05,0,1.472484,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
6,1976-02-06,0,1.330899,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
7,1976-02-07,0,1.245948,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
8,1976-02-08,0,1.245948,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
9,1976-02-09,0,1.245948,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
10,1976-02-10,0,1.217631,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
11,1976-02-11,6.2279,1.160997,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
12,1976-02-12,2.2215,1.189314,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
13,1976-02-13,18.3328,2.208726,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
14,1976-02-14,12.412,3.313089,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
15,1976-02-15,22.2973,4.757256,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
16,1976-02-16,62.3625,47.176122,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
17,1976-02-17,51.9261,38.539437,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
18,1976-02-18,7.1497,29.477997,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
19,1976-02-19,14.4013,15.432765,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
20,1976-02-20,0,12.601065,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
21,1976-02-21,0,9.854316,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
22,1976-02-22,0,6.994299,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
23,1976-02-23,6.9153,5.521815,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
24,1976-02-24,27.6988,6.088155,FALSE,FALSE,FALSE,pre,hjandrews_GSWS10,debris_flow,pulse
