time,date,climate,response,zero_flow,climate_interp,climate_corrupt,response_interp,phase,site,disturbance,class
1,2000-10-01,0,5.946538,FALSE,FALSE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
2,2000-10-02,0,5.946538,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
3,2000-10-03,0,6.512875,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
4,2000-10-04,0,7.079212,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
5,2000-10-05,0,7.362381,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
6,2000-10-06,0.0051,7.362381,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
7,2000-10-07,0.262,7.928718,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
8,2000-10-08,0.0939,8.495055,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
9,2000-10-09,0,8.778223,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
10,2000-10-10,3.7038,13.308919,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
11,2000-10-11,4.2394,16.423773,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
12,2000-10-12,0.2882,12.176246,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
13,2000-10-13,0.0154,9.061392,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
14,2000-10-14,0.0048,7.362381,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
15,2000-10-15,0.0024,7.079212,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
16,2000-10-16,0.0156,8.778223,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
17,2000-10-17,0.0058,7.928718,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
18,2000-10-18,0,7.362381,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
19,2000-10-19,0,7.64555,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
20,2000-10-20,0,8.495055,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
21,2000-10-21,0,9.627729,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
22,2000-10-22,0.1092,12.459414,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
23,2000-10-23,0,8.495055,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
