time,climate,response,phase
1,-0.155799,0.782187,pre
2,-0.633567,0.502267,pre
3,0.106524,0.489347,pre
4,-0.005391,0.567162,pre
5,0.226073,0.725355,pre
6,0.210052,0.53202,pre
7,0.149273,0.553137,pre
8,0.00965,0.819801,pre
9,-0.079469,0.621867,pre
10,0.292728,0.717354,pre
11,0.584752,0.633468,pre
12,-0.072293,0.995428,pre
13,0.47107,0.728306,pre
14,0.641375,0.552685,pre
15,0.579,0.591317,pre
16,0.095494,0.915961,pre
17,0.241744,0.775244,pre
18,-0.16579,0.426911,pre
19,0.171632,0.715304,pre
20,0.117697,0.869508,pre
21,0.482486,0.504254,pre
22,0.081912,0.822767,pre
23,0.12214,0.545908,pre
24,0.319358,0.786542,pre
25,0.087384,0.776315,pre
26,-0.106241,0.435919,pre
27,0.442046,0.679713,pre
28,-0.084959,0.770151,pre
29,0.273646,0.535843,pre
30,0.652553,0.758044,pre
31,0.477247,0.830998,pre
32,0.536822,0.572086,pre
33,0.152415,0.879399,pre
34,0.096991,0.718708,pre
35,0.631921,0.641305,pre
36,0.132364,1.104279,pre
37,0.780473,0.863091,pre
38,0.549517,1.228869,pre
39,0.482768,0.640041,pre
40,0.559398,1.023205,pre
41,0.179074,0.878451,pre
42,0.623903,0.609417,pre
43,0.771211,1.196526,pre
44,0.28781,0.979726,pre
45,0.491941,0.991181,pre
46,0.33367,0.964651,pre
47,0.580869,1.281159,pre
48,0.457945,0.958719,pre
49,0.822594,0.852099,pre
50,0.29255,1.066271,pre
51,0.57264,0.846152,pre
52,0.618195,0.551975,pre
53,0.164523,1.03047,pre
54,0.564194,1.009603,pre
55,0.407404,1.320774,pre
56,0.4807,1.151369,pre
57,0.83461,1.186353,pre
58,0.86648,0.94665,pre
59,0.355951,0.938891,pre
60,0.660361,1.342856,pre
61,0.298008,1.834872,pre
62,0.912664,0.947841,pre
63,0.572054,1.664062,pre
64,0.967122,1.897231,pre
65,0.413085,1.741337,pre
66,1.05723,1.216733,pre
67,0.593613,1.357115,pre
68,0.554156,0.904504,pre
69,0.651097,1.221471,pre
70,0.499054,1.12789,pre
71,0.229591,1.871363,pre
72,0.789314,1.142831,pre
73,1.247707,1.140482,pre
74,0.825229,1.357925,pre
75,0.875331,1.032762,pre
76,1.24219,0.893296,pre
77,0.760135,1.618391,pre
78,0.610421,0.928174,pre
79,0.922396,1.267045,pre
80,0.830526,2.116178,pre
81,0.773054,1.762097,pre
82,0.916274,1.740095,pre
83,0.792086,1.145084,pre
84,0.673797,1.050563,pre
85,0.448465,1.925597,pre
86,0.640522,1.155094,pre
87,0.711229,2.476872,pre
88,0.963046,1.75397,pre
89,0.83888,1.565733,pre
90,0.716835,1.749968,pre
91,0.578449,1.202147,pre
92,0.924259,1.915707,pre
93,1.204269,2.180437,pre
94,0.731579,1.34449,pre
95,1.225996,1.539936,pre
96,0.773608,1.514063,pre
97,1.566202,1.537244,pre
98,0.841521,1.541385,pre
99,1.186666,2.168421,pre
100,1.069735,1.251617,pre
101,0.916593,1.831277,pre
102,0.688534,1.827542,pre
103,1.02927,1.217123,pre
104,1.220061,1.626367,pre
105,0.937077,1.540356,pre
106,0.914612,1.808982,pre
107,1.44438,2.253669,pre
108,0.772116,2.266514,pre
109,0.906054,1.412432,pre
110,0.834834,1.992787,pre
111,1.443188,1.3506,pre
112,1.232942,2.330592,pre
113,1.075372,1.814788,pre
114,0.905874,2.578304,pre
115,1.295014,1.588003,pre
116,1.184354,2.810732,pre
117,1.090893,1.843417,pre
118,0.965069,1.695927,pre
119,1.052781,1.746658,pre
120,0.550335,1.619092,pre
121,0.361477,1.295333,pre
122,1.152026,2.167211,pre
123,1.357627,3.352048,pre
124,0.846095,2.371871,pre
125,1.384595,2.675446,pre
126,1.175488,3.434426,pre
127,1.361943,2.155941,pre
128,1.35895,2.059568,pre
129,0.92619,2.5201,pre
130,1.128553,2.198388,pre
131,1.037654,1.969099,pre
132,0.776313,2.442015,pre
133,1.069731,2.312711,pre
134,0.890094,1.920286,pre
135,1.211625,1.530137,pre
136,1.099095,2.00233,pre
137,1.013434,1.931894,pre
138,1.335788,2.411566,pre
139,1.107139,2.333867,pre
140,1.386693,2.000889,pre
141,0.398759,1.828642,pre
142,1.169949,2.267003,pre
143,0.598283,3.220603,pre
144,1.103982,2.189996,pre
145,0.740306,3.200231,pre
146,0.937997,2.214132,pre
147,1.025847,4.848913,pre
148,1.306375,2.134009,pre
149,0.957272,3.446669,pre
150,1.273255,2.964135,pre
151,1.125853,2.564302,pre
152,0.712457,1.967211,pre
153,0.81478,2.751034,pre
154,0.156713,3.512914,pre
155,0.756586,2.87243,pre
156,0.999803,2.396076,pre
157,0.903064,4.374297,pre
158,0.698146,2.289411,pre
159,0.74307,2.709892,pre
160,0.94718,2.301149,pre
161,0.917533,4.343472,pre
162,0.34425,3.273398,pre
163,0.657913,3.021252,pre
164,0.864337,2.478332,pre
165,1.09457,3.983364,pre
166,0.357465,3.304885,pre
167,0.845694,2.988384,pre
168,0.533753,2.52354,pre
169,1.04947,2.751721,pre
