time,climate,response,phase
1,0.303618,0.471336,pre
2,0.513667,0.343035,pre
3,-0.106761,0.819953,pre
4,0.094036,0.544477,pre
5,0.330696,0.509595,pre
6,0.485138,0.538349,pre
7,0.350081,0.693984,pre
8,0.598939,0.8476,pre
9,-0.277173,0.537767,pre
10,0.331679,0.576211,pre
11,0.381672,0.380921,pre
12,-0.081192,0.267649,pre
13,0.136914,0.800471,pre
14,-0.300835,0.663546,pre
15,-0.061237,0.551508,pre
16,0.174044,0.81339,pre
17,-0.284847,0.489649,pre
18,0.079421,0.710394,pre
19,0.930555,0.741317,pre
20,0.086629,0.815522,pre
21,0.463549,0.838272,pre
22,0.42353,0.6424,pre
23,0.509174,0.816718,pre
24,0.466854,0.723964,pre
25,0.151637,0.59736,pre
26,-0.011221,0.934875,pre
27,0.402673,0.966878,pre
28,0.028334,0.737261,pre
29,0.039888,0.495537,pre
30,0.619282,0.761877,pre
31,0.42138,0.743648,pre
32,0.400516,1.084571,pre
33,0.527065,1.030132,pre
34,0.215929,1.119372,pre
35,0.127667,1.279408,pre
36,0.114773,0.963428,pre
37,0.126077,0.75387,pre
38,0.601712,0.873904,pre
39,0.294167,1.169354,pre
40,0.295098,0.885446,pre
41,0.15036,1.06517,pre
42,0.591931,0.981119,pre
43,0.339212,1.270599,pre
44,0.390324,0.763634,pre
45,0.879306,1.228022,pre
46,0.786571,0.773181,pre
47,1.066519,1.565736,pre
48,0.311854,0.798589,pre
49,0.751685,1.536314,pre
50,0.033373,1.010917,pre
51,0.992356,1.326348,pre
52,0.496372,1.67098,pre
53,1.039156,1.014367,pre
54,0.979751,1.071459,pre
55,0.490529,1.485635,pre
56,0.750273,1.567558,pre
57,0.443242,1.421815,pre
58,0.86081,1.703997,pre
59,0.17011,0.719056,pre
60,0.666044,1.543864,pre
61,0.480068,1.372779,pre
62,0.587206,0.982139,pre
63,1.17664,1.201963,pre
64,0.44409,0.757442,pre
65,0.891363,0.943107,pre
66,1.03899,1.124926,pre
67,0.668435,0.802993,pre
68,0.668337,1.092031,pre
69,0.302525,2.151213,pre
70,1.039941,1.105742,pre
71,0.248106,1.516811,pre
72,0.313097,1.531127,pre
73,1.050935,1.797863,pre
74,1.15896,1.528023,pre
75,0.723054,1.136508,pre
76,1.215295,0.998408,pre
77,0.873027,1.430905,pre
78,0.927562,0.972265,pre
79,0.310295,1.005218,pre
80,0.766851,2.015928,pre
81,0.467021,1.509395,pre
82,1.302729,1.516732,pre
83,0.445928,1.771718,pre
84,0.943283,1.29567,pre
85,0.543173,1.264697,pre
86,1.540022,1.188562,pre
87,1.165325,1.197583,pre
88,0.97249,1.896052,pre
89,1.126833,1.347809,pre
90,0.627259,1.31476,pre
91,0.635249,1.1726240000000001,pre
92,0.840837,1.670091,pre
93,0.952024,1.348284,pre
94,1.161052,1.5732,pre
95,0.896861,2.450911,pre
96,0.803882,2.144887,pre
97,0.817331,2.99238,pre
98,0.986159,1.433109,pre
99,1.009204,1.889959,pre
100,1.257543,0.980035,pre
101,0.9745,2.539263,pre
102,0.700942,1.764781,pre
103,0.919882,2.82932,pre
104,1.069413,2.65125,pre
105,0.782169,1.601372,pre
106,1.557863,1.982925,pre
107,0.754342,1.604873,pre
108,1.294388,2.194554,pre
109,0.864203,1.154313,pre
110,1.140708,1.960641,pre
111,1.114886,1.651888,pre
112,0.874055,1.789855,pre
113,0.938004,3.122891,pre
114,1.056974,1.405279,pre
115,1.129263,2.409369,pre
116,0.875915,2.975072,pre
117,1.057659,2.049642,pre
118,1.009292,1.923948,pre
119,0.717125,1.497038,pre
120,0.790805,2.786685,pre
121,0.8599,1.185241,pre
122,1.010981,1.388659,pre
123,0.429937,2.712715,pre
124,1.016172,3.275869,pre
125,0.853449,2.081563,pre
126,0.348649,3.183701,pre
127,1.068422,2.302276,pre
128,1.366238,2.334817,pre
129,1.274163,1.399962,pre
130,0.824598,2.005744,pre
131,1.030771,1.629197,pre
