time,climate,response,phase
1,0.093047,0.818092,pre
2,-0.17083,0.505716,pre
3,0.431622,0.615596,pre
4,0.210969,0.734638,pre
5,0.085231,0.676898,pre
6,0.144464,0.55270300000000006,pre
7,0.257673,0.9258,pre
8,0.12282,0.576221,pre
9,-0.635416,0.887787,pre
10,0.196554,0.601382,pre
11,0.045982,0.826283,pre
12,0.196533,1.096026,pre
13,0.308093,0.437923,pre
14,0.524957,0.533122,pre
15,0.005558,0.616154,pre
16,0.525346,0.812821,pre
17,0.295969,0.572229,pre
18,0.483897,0.374203,pre
19,0.466681,0.40115,pre
20,0.428909,0.918102,pre
21,6.2e-5,0.727356,pre
22,0.250405,0.429583,pre
23,0.440899,0.691691,pre
24,0.058661,0.963679,pre
25,0.17331,1.255779,pre
26,0.466193,0.626671,pre
27,0.524864,0.689055,pre
28,0.460585,0.454678,pre
29,0.134968,0.90130999999999994,pre
30,0.093179,0.683814,pre
31,0.757956,0.878893,pre
32,0.455854,0.915522,pre
33,0.425016,0.998108,pre
34,0.384151,0.706552,pre
35,0.127197,0.877156,pre
36,0.590115,0.605675,pre
37,0.394098,0.661099,pre
38,0.413891,0.693046,pre
39,0.704041,0.462394,pre
40,0.687197,0.87874,pre
41,0.840756,0.936731,pre
42,0.38458,0.849105,pre
43,0.677027,1.062187,pre
44,0.872952,0.736701,pre
45,0.25813,0.693873,pre
46,0.331196,1.171798,pre
47,0.273941,0.814987,pre
48,0.202465,1.430634,pre
49,0.597568,0.894953,pre
50,0.751086,1.182666,pre
51,0.898146,0.996614,pre
52,0.869118,0.867439,pre
53,0.367057,1.501429,pre
54,1.089812,1.253429,pre
55,0.470731,1.17394,pre
56,0.673434,1.147443,pre
57,0.551022,1.332059,pre
58,0.635424,1.09124,pre
59,0.722381,0.568324,pre
60,0.714337,1.307322,pre
61,0.68738,1.088286,pre
62,0.729668,1.266706,pre
63,0.590177,1.381158,pre
64,0.594255,1.722578,pre
65,0.313694,1.03106,pre
66,0.64193,1.676718,pre
67,0.617779,1.307873,pre
68,1.429724,1.597944,pre
69,0.421913,1.637479,pre
70,0.804827,1.506265,pre
71,0.405056,0.90823,pre
72,0.418679,1.332921,pre
73,0.825166,1.572523,pre
74,0.552407,1.025165,pre
75,0.808561,1.175378,pre
76,0.709275,1.626503,pre
77,0.670115,1.835154,pre
78,0.324426,1.672197,pre
79,0.531341,1.110325,pre
80,0.889207,1.241663,pre
81,0.9929,2.276888,pre
82,0.734307,1.616559,pre
83,0.863939,1.558922,pre
84,1.150906,1.432479,pre
85,1.236271,1.166841,pre
86,0.608013,1.865182,pre
87,0.858807,1.474035,pre
88,1.194216,1.548034,pre
89,0.781973,1.936453,pre
90,0.89171,2.108131,pre
91,0.888579,2.307729,pre
92,0.693321,1.340691,pre
93,0.809061,1.923731,pre
94,0.917716,2.42679,pre
95,0.826309,1.334438,pre
96,1.212675,1.314436,pre
97,0.818486,1.318888,pre
98,0.834698,1.218255,pre
99,1.121314,1.774908,pre
100,0.686964,2.020982,pre
101,0.94469,2.29374,pre
102,0.570636,2.412081,pre
103,1.25382,1.365639,pre
104,0.89697,2.858247,pre
105,0.851622,1.664496,pre
106,0.662069,1.911109,pre
107,0.972586,1.762145,pre
108,0.77719800000000006,1.987284,pre
109,0.846482,2.080823,pre
110,1.304206,2.050799,pre
111,0.940683,1.929588,pre
112,0.71874,1.996595,pre
113,1.029453,1.727917,pre
114,0.899777,1.844096,pre
115,1.139618,1.246808,pre
116,1.351717,1.940427,pre
117,0.746778,1.748804,pre
118,1.109796,4.213454,pre
119,1.018383,1.624527,pre
120,1.221918,2.294669,pre
121,0.941292,1.479122,pre
122,1.208444,1.544064,pre
123,0.56342,2.100828,pre
124,1.422286,1.690077,pre
125,1.216194,2.214725,pre
126,0.962227,1.777539,pre
127,0.637432,2.13479,pre
128,1.160042,1.406148,pre
129,1.119535,1.792733,pre
130,0.996438,2.430675,pre
131,1.035023,2.76514,pre
132,0.850106,2.292643,pre
133,1.087153,2.375702,pre
134,1.067275,3.210691,pre
135,0.9223,3.537831,pre
136,0.656402,1.87209,pre
137,1.163839,2.437226,pre
138,1.125235,3.262255,pre
139,0.775488,2.151974,pre
140,0.58364,2.302231,pre
141,1.031095,2.391367,pre
142,0.890996,1.959097,pre
143,1.03768,2.182011,pre
144,0.648131,2.567844,pre
145,0.728791,2.318729,pre
146,1.236825,3.185168,pre
147,1.062971,2.219468,pre
148,1.105144,2.333794,pre
149,1.408672,3.122814,pre
150,0.983262,1.999048,pre
151,0.446866,2.495226,pre
152,1.026435,1.924044,pre
153,1.231565,3.584925,pre
154,1.449214,2.378622,pre
155,0.585561,2.493821,pre
156,0.637363,1.898771,pre
157,0.743776,2.877842,pre
158,0.651727,2.178635,pre
159,0.74867,2.211591,pre
160,0.858483,3.767139,pre
161,0.5991,2.724832,pre
162,1.403084,1.970723,pre
163,0.91508,2.657997,pre
164,0.861264,2.49389,pre
165,1.000212,2.851125,pre
166,0.879538,3.801204,pre
167,0.830901,2.050352,pre
168,1.226724,3.135467,pre
169,0.796737,2.524925,pre
170,0.523427,3.144876,pre
171,0.933945,2.529466,pre
172,0.742718,3.202358,pre
173,0.693084,1.789915,pre
174,0.549306,4.090934,pre
175,0.916108,3.279316,pre
176,0.758062,2.814461,pre
177,0.922907,1.705591,pre
178,0.727697,3.59592,pre
179,0.613836,3.098902,pre
180,1.083072,2.61194,pre
181,0.694502,2.663925,pre
182,0.991239,2.218421,pre
183,0.445546,3.073837,pre
184,0.620984,3.058963,pre
185,0.661631,2.428684,pre
186,0.622568,2.038707,pre
187,1.048712,3.238592,pre
188,0.696959,2.986012,pre
189,0.75471,2.321085,pre
190,0.448954,1.861529,pre
191,0.493028,2.635498,pre
192,0.915529,2.542322,pre
193,0.971206,3.017812,pre
194,0.959272,1.891744,pre
195,0.292265,2.012169,pre
196,1.140182,3.585058,pre
197,0.872078,3.128103,pre
198,0.601251,2.952491,pre
199,0.773807,4.180894,pre
200,0.344939,2.926297,pre
201,0.303534,1.544541,pre
202,0.579532,2.741052,pre
203,0.257252,3.313296,pre
204,0.593899,4.035298,pre
205,0.860253,1.678245,pre
206,0.266706,1.948437,pre
